Матрица A:
8	-8	2	3	-8	-5	-2	-5	-9	3	
-2	-2	-9	-1	3	-7	-8	0	0	2	
8	8	-9	6	4	-4	-6	-5	8	2	
-4	-9	-9	-4	-5	-8	9	-5	5	-8	
10	-7	-6	9	-10	-8	-3	-3	-7	-4	
1	-1	9	9	-4	5	-4	-9	9	6	
5	7	2	-2	8	-8	7	3	0	-4	
-4	8	2	7	4	9	3	10	-3	1	
4	-6	-7	6	-5	-2	-2	-3	0	-9	
5	-7	10	-5	-7	-2	-10	-2	7	-2	

Матрица B:
2	-5	1	4	-6	5	-4	3	-8	3	
-5	4	-5	1	0	-4	0	4	-8	-7	
-10	0	9	9	0	-7	-2	-3	1	-8	
6	-9	4	9	7	10	10	-2	9	2	
9	-4	-10	0	1	-4	-5	5	-2	-4	
1	6	5	-4	-7	-6	10	-9	-1	-5	
-6	-9	-2	2	-5	-9	-8	10	-2	-7	
-7	-1	0	-8	-10	10	10	-7	9	-2	
-5	-8	-8	6	-3	-5	7	0	-4	7	
4	-9	9	1	-2	0	4	-8	5	-1	

Матрица C = A * B:
81	-29	236	74	81	163	-101	-24	60	85	
166	11	-108	-86	93	153	3	-3	41	155	
173	-125	-183	107	78	103	48	86	-142	162	
-26	-52	-176	-30	53	-49	-180	223	-46	165	
129	-45	113	64	123	330	-39	47	66	207	
6	-125	178	269	89	-77	167	-136	14	50	
-72	-89	-190	45	-37	-54	-206	234	-127	-97	
-50	5	34	-54	-94	22	211	-109	117	-194	
94	12	-42	20	85	173	13	63	7	181	
-119	62	116	102	-5	8	26	-120	-39	137	

Матрица D = A elemMult B:
16	40	2	12	48	-25	8	-15	72	9	
10	-8	45	-1	0	28	0	0	0	-14	
-80	0	-81	54	0	28	12	15	8	-16	
-24	81	-36	-36	-35	-80	90	10	45	-16	
90	28	60	0	-10	32	15	-15	14	16	
1	-6	45	-36	28	-30	-40	81	-9	-30	
-30	-63	-4	-4	-40	72	-56	30	0	28	
28	-8	0	-56	-40	90	30	-70	-27	-2	
-20	48	56	36	15	10	-14	0	0	-63	
20	63	90	-5	14	0	-40	16	35	2	

Матрица E = транспонированная(A):
8	-2	8	-4	10	1	5	-4	4	5	
-8	-2	8	-9	-7	-1	7	8	-6	-7	
2	-9	-9	-9	-6	9	2	2	-7	10	
3	-1	6	-4	9	9	-2	7	6	-5	
-8	3	4	-5	-10	-4	8	4	-5	-7	
-5	-7	-4	-8	-8	5	-8	9	-2	-2	
-2	-8	-6	9	-3	-4	7	3	-2	-10	
-5	0	-5	-5	-3	-9	3	10	-3	-2	
-9	0	8	5	-7	9	0	-3	0	7	
3	2	2	-8	-4	6	-4	1	-9	-2	

Матрица G = A + B:
10	-13	3	7	-14	0	-6	-2	-17	6	
-7	2	-14	0	3	-11	-8	4	-8	-5	
-2	8	0	15	4	-11	-8	-8	9	-6	
2	-18	-5	5	2	2	19	-7	14	-6	
19	-11	-16	9	-9	-12	-8	2	-9	-8	
2	5	14	5	-11	-1	6	-18	8	1	
-1	-2	0	0	3	-17	-1	13	-2	-11	
-11	7	2	-1	-6	19	13	3	6	-1	
-1	-14	-15	12	-8	-7	5	-3	-4	-2	
9	-16	19	-4	-9	-2	-6	-10	12	-3	

Матрица H = A - B:
6	-3	1	-1	-2	-10	2	-8	-1	0	
3	-6	-4	-2	3	-3	-8	-4	8	9	
18	8	-18	-3	4	3	-4	-2	7	10	
-10	0	-13	-13	-12	-18	-1	-3	-4	-10	
1	-3	4	9	-11	-4	2	-8	-5	0	
0	-7	4	13	3	11	-14	0	10	11	
11	16	4	-4	13	1	15	-7	2	3	
3	9	2	15	14	-1	-7	17	-12	3	
9	2	1	0	-2	3	-9	-3	4	-16	
1	2	1	-6	-5	-2	-14	6	2	-1	
