Матрица A:
-9	-8	4	-8	6	2	4	3	7	3	
9	5	-10	8	6	7	8	1	1	-8	
-9	-9	-8	-8	7	2	9	8	-3	-7	
1	-3	-5	0	4	-7	-1	-9	-4	-7	
6	-2	10	-10	-9	-9	3	1	6	2	
6	6	-3	-1	8	6	3	-10	-10	-2	
9	6	0	0	-9	-9	-4	-4	-3	-7	
-7	-1	-8	7	-9	-8	9	-9	-5	-3	
6	-2	0	-6	-10	-1	8	6	1	0	
-6	5	1	-6	-4	10	-6	8	-1	0	

Матрица B:
8	2	1	-9	8	-2	-5	0	9	9	
-10	9	-10	-4	10	-7	1	-7	3	7	
-6	4	-2	-2	-8	-1	5	-2	5	3	
-8	2	-2	-7	0	-6	-4	8	6	9	
7	-8	1	6	-1	8	5	-9	2	7	
-10	0	10	-9	-9	0	4	-4	-10	4	
9	6	-4	-8	0	3	-4	6	8	2	
-9	10	2	6	-5	5	6	3	5	-8	
-3	-1	-1	-4	1	9	-10	1	-10	4	
1	4	8	-2	-1	-1	2	2	2	-6	

Матрица C = A * B:
61	-79	112	131	-219	253	65	-32	-158	-153	
42	16	-56	-210	137	3	-116	3	79	288	
170	-94	67	215	-159	240	99	5	-74	-199	
243	-197	-91	84	125	-21	-65	-28	26	69	
117	116	-73	-15	37	46	-85	62	83	-109	
155	-92	-16	-111	112	-110	53	-166	77	216	
41	55	-195	-44	246	-184	-112	22	135	78	
137	-12	-157	-48	122	-145	-157	208	69	-38	
71	169	-3	-87	18	21	-68	127	86	-116	
-307	102	91	60	-133	-7	166	-102	-176	-138	

Матрица D = A elemMult B:
-72	-16	4	72	48	-4	-20	0	63	27	
-90	45	100	-32	60	-49	8	-7	3	-56	
54	-36	16	16	-56	-2	45	-16	-15	-21	
-8	-6	10	0	0	42	4	-72	-24	-63	
42	16	10	-60	9	-72	15	-9	12	14	
-60	0	-30	9	-72	0	12	40	100	-8	
81	36	0	0	0	-27	16	-24	-24	-14	
63	-10	-16	42	45	-40	54	-27	-25	24	
-18	2	0	24	-10	-9	-80	6	-10	0	
-6	20	8	12	4	-10	-12	16	-2	0	

Матрица E = транспонированная(A):
-9	9	-9	1	6	6	9	-7	6	-6	
-8	5	-9	-3	-2	6	6	-1	-2	5	
4	-10	-8	-5	10	-3	0	-8	0	1	
-8	8	-8	0	-10	-1	0	7	-6	-6	
6	6	7	4	-9	8	-9	-9	-10	-4	
2	7	2	-7	-9	6	-9	-8	-1	10	
4	8	9	-1	3	3	-4	9	8	-6	
3	1	8	-9	1	-10	-4	-9	6	8	
7	1	-3	-4	6	-10	-3	-5	1	-1	
3	-8	-7	-7	2	-2	-7	-3	0	0	

Матрица G = A + B:
-1	-6	5	-17	14	0	-1	3	16	12	
-1	14	-20	4	16	0	9	-6	4	-1	
-15	-5	-10	-10	-1	1	14	6	2	-4	
-7	-1	-7	-7	4	-13	-5	-1	2	2	
13	-10	11	-4	-10	-1	8	-8	8	9	
-4	6	7	-10	-1	6	7	-14	-20	2	
18	12	-4	-8	-9	-6	-8	2	5	-5	
-16	9	-6	13	-14	-3	15	-6	0	-11	
3	-3	-1	-10	-9	8	-2	7	-9	4	
-5	9	9	-8	-5	9	-4	10	1	-6	

Матрица H = A - B:
-17	-10	3	1	-2	4	9	3	-2	-6	
19	-4	0	12	-4	14	7	8	-2	-15	
-3	-13	-6	-6	15	3	4	10	-8	-10	
9	-5	-3	7	4	-1	3	-17	-10	-16	
-1	6	9	-16	-8	-17	-2	10	4	-5	
16	6	-13	8	17	6	-1	-6	0	-6	
0	0	4	8	-9	-12	0	-10	-11	-9	
2	-11	-10	1	-4	-13	3	-12	-10	5	
9	-1	1	-2	-11	-10	18	5	11	-4	
-7	1	-7	-4	-3	11	-8	6	-3	6	
